coin,net,acc,p
SOL,0.02434956587391479,True,0.4493033909128359
BTC,0.024194329208707455,True,0.5966407978614858
LINK,0.02417241747676524,True,0.3971784141944611
LINK,0.024012145748987912,True,0.6722036530257238
XRP,0.023946639772623124,False,0.2857693029809642
SOL,0.02372115384615392,True,0.6505011955106579
AVAX,0.02358901544702774,True,0.4850972998016751
TRX,0.02349306691930053,True,0.783127049055004
ADA,0.023470653377630102,True,0.783187129377813
XRP,0.023024061597690215,True,0.6624231492444214
SOL,0.022610505997518127,True,0.5349331622318549
SOL,0.022542038515735108,True,0.3698615988755174
BTC,0.02254036772869794,True,0.8942631906399745
TRX,0.022535576586049766,True,0.7896292087322023
LINK,0.022454148471615865,True,0.6304925359200234
TRX,0.02242748091603053,False,0.2537044786138975
DOGE,0.02202082593775878,True,0.40701805835983235
TRX,0.022013024013024074,True,0.6492074688401753
BTC,0.02200791579679895,True,0.5462143203642298
ETH,0.021813082641702453,True,0.7258442573753643
TRX,0.0217467018469657,True,0.6803156425282983
BNB,0.021674378106711023,True,0.3654640416949529
ADA,0.021564803208824257,True,0.9036720010462688
TRX,0.021506088926649625,False,0.27154090570868444
XRP,0.021501199040767416,True,0.4189164937931477
BNB,0.02146974519867806,True,0.5934015843806788
BTC,0.02145591426957849,True,0.5725043041935378
ETH,0.021200349980948552,True,0.6897838374755979
ETH,0.02118418475179129,True,0.6005821261058437
TRX,0.020962112514351317,True,0.7255095821448375
TRX,0.020853185595567814,True,0.6514085818445171
BTC,0.02084978750364863,True,0.6450095210327512
LINK,0.02036774335957614,True,0.6064995079615764
BNB,0.020257250945775462,True,0.4389279693422081
BNB,0.020131904018173996,True,0.8842100262834158
ETH,0.02003735144312402,True,0.7892608677285462
DOGE,0.019992626253965584,True,0.5246039150971683
DOGE,0.019954742416947502,True,0.8309258278302949
XRP,0.01977436403354238,True,0.8630716799904887
BTC,0.01967427334717109,True,0.7056490233952454
TRX,0.01966666666666672,True,0.6727522231757633
ADA,0.019612507664009904,True,0.44471898011203514
BNB,0.01949090233939832,True,0.4142579406358862
SOL,0.01933556450347762,True,0.36743752671280794
AVAX,0.019251475796930206,True,0.5802794432175219
BTC,0.019247425987968025,True,0.5195695752637636
SOL,0.019179009847565265,True,0.7024946768491322
BNB,0.01906629860103859,True,0.8431775578501479
TRX,0.018962987225679573,True,0.662059414242261
XRP,0.018876923792253697,True,0.7142266303668872
DOGE,0.01871805430446538,True,0.5015498864460742
ADA,0.018687107499076427,True,0.7828685270669986
BNB,0.0186474190726158,True,0.5607398351054093
ADA,0.01843085476025008,True,0.6873322918060704
BNB,0.01834161649408661,True,0.5430446136377642
ETH,0.018315338611077925,True,0.6465654583740904
LINK,0.018138089758342968,True,0.6347968051458258
ADA,0.017922425952045185,True,0.6800576475640276
ETH,0.017803370348298486,True,0.4143168684299134
TRX,0.017752259792433778,True,0.8494750109534089
XRP,0.017683069224353476,True,0.5299435736367032
LINK,0.01746308724832213,True,0.7009065052747753
AVAX,0.017267414778742385,True,0.6667327748522458
AVAX,0.01723076923076916,True,0.5327869052611903
BTC,0.017230624420760066,True,0.644884147029928
LINK,0.017130929521371074,True,0.6820373716192254
ETH,0.017107893394232354,True,0.335896584796074
DOGE,0.01707605120680067,True,0.46740043430993855
TRX,0.0169905047476262,True,0.7090850972516777
TRX,0.01698211829436036,True,0.7926620554410193
TRX,0.01680877742946718,True,0.4469342250936947
TRX,0.01677832937621404,True,0.6803350810154725
DOGE,0.016772165830989394,True,0.36022008482628043
XRP,0.0167625937303868,True,0.48095999043885895
ADA,0.016625900544719574,True,0.5253162272422276
ADA,0.0165330610962775,True,0.8307092069012777
BNB,0.016505007627511947,True,0.6635245938918811
ADA,0.016408551068883614,True,0.7470831175843311
BTC,0.016400326300779478,True,0.548708411649444
BNB,0.016381656244077947,True,0.8961421377095646
BTC,0.016373995081501835,True,0.7683784726914444
TRX,0.016238993710691707,True,0.47777310234573916
XRP,0.016120300751879757,True,0.8024963975287555
TRX,0.015937219730941532,True,0.5247194280615499
XRP,0.015871326449562906,True,0.4524190289020914
BTC,0.015852907571761943,True,0.3795293595143338
ETH,0.015755281551045774,True,0.49107681664101394
TRX,0.015717744057538674,True,0.3776811067713714
ADA,0.015511520737327091,True,0.8317668835437032
SOL,0.01549121779859486,True,0.39846910488768783
TRX,0.01547720364741645,True,0.6891655699350334
BNB,0.015449445531637187,True,0.5093668719031299
DOGE,0.015220616570327474,True,0.6575360202461938
BNB,0.01503465418920902,True,0.5644087372627773
BTC,0.014853745623461647,True,0.5619467690858665
AVAX,0.014778523489932917,True,0.4422257805374017
TRX,0.014718506998444793,True,0.7102419180232878
TRX,0.014648955012398048,True,0.7822945614171225
AVAX,0.014511558090663403,True,0.5277093634186464
TRX,0.014429353778751432,True,0.5069264410956034
ETH,0.014077449855737447,True,0.37689225827333034
BNB,0.014075728985310844,True,0.5806013549242105
BTC,0.014063901018922744,True,0.545181501264026
ETH,0.014032479415790668,True,0.5306969857039457
TRX,0.014032064128256529,True,0.6386740667183256
ETH,0.013687353149591576,True,0.841927365203037
ADA,0.013598885793871808,True,0.5423408041908867
SOL,0.01355800563518317,True,0.7073768327456916
LINK,0.01354907677356665,True,0.8464645517730068
DOGE,0.01353884711779463,True,0.7272328040988371
LINK,0.013320167564332854,True,0.5418530306201195
TRX,0.013178894109143304,True,0.30093977669011496
ADA,0.01312357063814096,True,0.487907924393779
TRX,0.01295063469675606,True,0.8512101510320491
ADA,0.012913007456503813,True,0.4496973202625142
TRX,0.012749262536873031,True,0.7906709431044675
SOL,0.01272661757794147,True,0.7408772071308253
XRP,0.012558278325345952,True,0.7138767962080047
BNB,0.01251278507256415,True,0.665422328955562
BTC,0.01237093275488066,True,0.7990320097266146
XRP,0.012335664335664466,True,0.8329142401238011
TRX,0.012281373442722511,True,0.6694313630480602
SOL,0.012050839552238736,True,0.434444079825127
XRP,0.012016018306636013,True,0.6744875446545564
XRP,0.012013234721681478,True,0.625616667853936
ADA,0.011910355486862702,True,0.43488772149308685
TRX,0.01188888888888884,True,0.6278973186964081
ETH,0.011884319273540724,True,0.7149780123196106
TRX,0.011879003558718628,True,0.4853233252627586
ETH,0.011840366008459837,True,0.342760837188608
DOGE,0.011839189480491676,True,0.5227380788644905
AVAX,0.01162088535754813,True,0.3840649630184057
DOGE,0.011465920861818859,True,0.7216775644654594
ETH,0.01144966635432443,True,0.3853902164298144
ETH,0.01144188297176796,True,0.8483466901114911
LINK,0.011377926421404673,True,0.4767856102485386
LINK,0.011254786450662692,True,0.8029682830756724
LINK,0.011219284603421366,True,0.6427401147792954
DOGE,0.011161540592962151,True,0.6251658517935434
BNB,0.011029827315541587,True,0.8327904321757922
ETH,0.011020292982528936,True,0.40504506795618284
BNB,0.010949600044750209,True,0.6243037091276609
ETH,0.010920277203543273,False,0.2847216875848153
AVAX,0.010917115177610405,True,0.7224359941540013
AVAX,0.010889366272824887,True,0.6894811661232264
XRP,0.010648260249028098,True,0.4819886981831512
