,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ret_60,153.33024829626083,143.92334687709808,149.31290245056152,153.75158059597015,131.82450705766678,148.97760540246964,149.15929144620895,186.33433896303177,156.57898819446564,163.68808543682098,131.76640397310257,136.72535055875778,154.3906587958336,180.90867495536804,151.0444542169571,148.1742604970932
nret_60,69.6201765537262,77.10330605506897,86.20755362510681,95.12652164697647,104.8621621131897,74.11837649345398,103.43145155906677,84.43420475721359,97.26770621538162,106.34911519289017,98.29660755395889,75.73575538396835,62.287627935409546,67.07574218511581,77.9781905412674,47.46712529659271
ret_90,96.96322071552277,109.03231239318848,141.19404983520508,119.65211313962936,102.7482482790947,116.03443020582199,135.85192507505417,132.0782477259636,144.65313643217087,161.93939489126205,135.14872735738754,136.17965680360794,151.11155277490616,167.8447626233101,159.69804418087006,150.0237312912941
nret_90,102.40330588817596,102.63219863176346,113.51796692609787,96.7623028755188,117.59394454956055,115.44672447443008,136.24734145402908,103.98737561702728,122.52655333280563,113.75550764799118,130.701722741127,131.2552126646042,107.76344239711761,110.61432212591171,124.48230940103531,121.17756116390228
ret_180,216.7363599538803,211.4838326573372,224.93603199720383,226.46108496189117,228.886250436306,215.06069374084473,229.63742911815643,238.72623229026794,232.17773485183716,239.4452282190323,250.65943616628647,248.36432474851608,257.276251912117,266.73049741983414,255.2192531824112,251.71825313568115
nret_180,114.36935395002365,114.77048242092133,100.79849606752396,128.69094252586365,128.4999052286148,135.77471113204956,129.38746982812881,124.13028627634048,137.9377110004425,140.31423699855804,146.7706069946289,131.85666131973267,148.008385181427,150.98052197694778,137.48600453138351,150.87673491239548
ret_252,299.8035591840744,288.9945016503334,279.398620903492,288.4994463920593,270.20871472358704,309.92264407873154,307.9497822523117,332.6758536696434,324.73456156253815,323.58826833963394,347.2347293496132,391.6457408070564,413.08028745651245,401.960335791111,426.82284265756607,400.32039457559586
nret_252,270.1038470566273,246.73486226797104,239.70631510019302,252.03417944908142,255.99820917844772,263.43339121341705,222.70744794607162,221.32218718528748,224.72894728183746,217.17198824882507,239.72534197568893,237.3350241780281,229.14847362041473,252.20301514863968,282.8534808754921,266.7154477238655
vol_7,305.8940404653549,276.0186982154846,236.7434054017067,255.81435972452164,268.71502047777176,292.319522023201,236.64315915107727,254.43622702360153,244.33087533712387,241.3236072063446,258.6760452389717,267.1500435471535,298.9054153561592,304.371065557003,295.03186893463135,276.6468106508255
vol_30,229.1001117825508,243.5913593173027,242.90262055397034,203.85160142183304,213.80862909555435,233.30807650089264,205.2734237909317,202.97341132164001,226.06208181381226,190.65897679328918,238.63694405555725,200.73284822702408,231.5053780078888,232.07375818490982,236.5092026591301,225.5751792192459
vol_90,214.8820868730545,236.22404742240906,210.3160674571991,219.63041800260544,207.56343054771423,234.7343578338623,203.3493334054947,201.68979436159134,187.05802863836288,233.56738185882568,230.39938807487488,219.5033929347992,220.01872235536575,231.82762950658798,249.42743903398514,258.0695461630821
