n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,tf,asset,clf,period
2680,0.7167910447761194,0.7375170849277299,0.4623517143280373,0.090807033536669,7.1,0.5633802816901409,0.13978494623655913,0.2334189978343089,0.27948813099192665,0.2553092810494132,0.2767971830597245,0.16138571298218163,1D,ADAUSDT,"STOCK model (accurate, unchanged)",all history
2680,0.6888059701492537,0.710020088806215,0.409323631136002,0.13765826816293597,2.4,0.6875,0.2028985507246377,0.2646639276388563,0.3769372893973372,0.4339740515172526,0.394217730413988,0.16138571298218163,1D,ADAUSDT,"STOCK model (calm, unchanged)",all history
2680,0.6914179104477612,0.6759110190997099,0.34989101420577734,0.22413507696512514,2.9,0.6551724137931034,0.2127659574468085,0.32775748451366743,0.35584360888709654,0.7126917441814936,0.6176843659403107,0.16138571298218163,1D,ADAUSDT,EMA200,all history
2680,0.7541044776119403,0.7449659953873646,0.4850834195053334,0.30766352537735303,3.5,0.6285714285714286,0.12063492063492064,0.2550187756424109,0.28750855612060006,0.9816602316556786,0.8279310307823028,0.16138571298218163,1D,ADAUSDT,EMA cross (stock-tuned),all history
2680,0.7582089552238805,0.7492215882668152,0.4935844816921473,0.2433261591353723,10.3,0.5436893203883495,0.06808510638297872,0.25322985880059545,0.2529425518626126,0.7336238997915037,0.6574246900853616,0.16138571298218163,1D,ADAUSDT,Price vs EMA (stock-tuned),all history
2680,0.7746268656716417,0.7568605279744298,0.5185437135165547,0.15839683734792045,2.8,0.6607142857142857,0.09345794392523364,0.3031029513609853,0.24875064197372992,0.4991051597285542,0.5079280986496126,0.16138571298218163,1D,ADAUSDT,SuperTrend (stock-tuned),all history
2680,0.7272388059701492,0.734325537806378,0.45586794715616336,0.08854984103450157,2.8,0.6607142857142857,0.14285714285714285,0.25322985880059545,0.2529425518626126,0.2720140331675456,0.3047047607972911,0.16138571298218163,1D,ADAUSDT,Online directional-change (stock-tuned),all history
2680,0.7052238805970149,0.6915730880815072,0.3803563879031313,0.16572250497248095,1.3,0.8076923076923077,0.2523364485981308,0.42710091563307956,0.4177595768459562,0.531443238746845,0.47631381850723187,0.16138571298218163,1D,ADAUSDT,EMA cross (stock calm-tuned),all history
2680,0.7335820895522388,0.7422672259742835,0.4711043910460758,0.1831240294576998,1.8,0.75,0.21768707482993196,0.32337343154394044,0.36415309914413807,0.5852420886575475,0.5095763458456662,0.16138571298218163,1D,ADAUSDT,SuperTrend (stock calm-tuned),all history
2680,0.7305970149253731,0.7205248112100733,0.43636116691075805,0.174177014718178,1.3,0.8461538461538461,0.21768707482993196,0.4494998973473057,0.38950112602916304,0.5589592037540679,0.51938288362186,0.16138571298218163,1D,ADAUSDT,Online directional-change (stock calm-tuned),all history
2821,0.7249202410492733,0.7408256381161403,0.47641449334806774,0.09828747976544143,7.3,0.5616438356164384,0.13978494623655913,0.2334189978343089,0.27948813099192665,0.27236537739145056,0.3324153985290757,0.23474224093881566,1D,ADAUSDT,"STOCK model (accurate, unchanged)",2019-2026
2821,0.7022332506203474,0.719599959341456,0.4355796623939727,0.1374511334679727,2.5,0.68,0.2028985507246377,0.2646639276388563,0.3769372893973372,0.42198632564568533,0.4293390803866529,0.23474224093881566,1D,ADAUSDT,"STOCK model (calm, unchanged)",2019-2026
2821,0.6721020914569301,0.6573856452521296,0.3178903966808393,0.18617787896965513,3.45,0.6376811594202898,0.21768707482993196,0.36585380775568954,0.35326399569161104,0.5714145368060531,0.5741792366787348,0.23474224093881566,1D,ADAUSDT,EMA200,2019-2026
2821,0.7447713576745835,0.7365349689408138,0.47319191698731483,0.28657863346612555,3.85,0.6233766233766234,0.12063492063492064,0.2550187756424109,0.26068101286011447,0.8879991342358615,0.805768045494386,0.23474224093881566,1D,ADAUSDT,EMA cross (stock-tuned),2019-2026
2821,0.7490251683800071,0.7409239135508081,0.4819720695493406,0.21271740824401214,11.55,0.5411255411255411,0.06808510638297872,0.25322985880059545,0.2425575122691472,0.6123597552776048,0.6156110495129522,0.23474224093881566,1D,ADAUSDT,Price vs EMA (stock-tuned),2019-2026
2821,0.7731300957107409,0.7606604212930455,0.5278368881913016,0.1527610634160984,3.0,0.65,0.09345794392523364,0.3031029513609853,0.24875064197372992,0.46776987428965455,0.5305280431580012,0.23474224093881566,1D,ADAUSDT,SuperTrend (stock-tuned),2019-2026
2821,0.7408720311946119,0.7486202543855738,0.4895260162818417,0.11202251864018417,2.8,0.6607142857142857,0.14285714285714285,0.25322985880059545,0.2529425518626126,0.339748618505779,0.39410531434442053,0.23474224093881566,1D,ADAUSDT,Online directional-change (stock-tuned),2019-2026
2821,0.6923076923076923,0.680222626272265,0.3622453082160044,0.1667531276748571,1.35,0.8148148148148148,0.3404255319148936,0.42710091563307956,0.4177595768459562,0.5209595311035992,0.5188405693609558,0.23474224093881566,1D,ADAUSDT,EMA cross (stock calm-tuned),2019-2026
2821,0.7444168734491315,0.7526627716058154,0.497492366178924,0.18098933678053117,1.9,0.7368421052631579,0.21768707482993196,0.32337343154394044,0.36415309914413807,0.5631615280519786,0.5364300636956406,0.23474224093881566,1D,ADAUSDT,SuperTrend (stock calm-tuned),2019-2026
