,y_ret,y_ret,y_ret,y_orc,y_orc,y_orc
,2019-21,2022-23,2024-26,2019-21,2022-23,2024-26
h1_ema_slope_100,0.020403256486342558,0.001105488298523305,-0.0017655602912617918,0.0330243669374104,0.018958266814184555,0.03981059049121116
h1_ema_slope_20,0.028103933652895097,0.019385789365402917,-0.01357367837244261,0.05593220788872966,0.030468245305295016,-0.0009829431008926415
h1_ema_slope_200,0.0240894218345844,0.0280072621563634,-0.018152057489567164,0.019678222094743347,0.028705951947804453,0.006524745925792219
h1_ema_slope_400,0.014083887707424192,0.022154519877414347,-0.03219835299128193,0.003551714776943271,0.007223670173927443,-0.02597468216313198
h1_ema_slope_50,0.00697202566638766,-0.019725117495704936,-0.0011086002332890699,0.03809523809523818,0.00899091379365824,0.037203047960555846
h1_ema_x_10_40,0.009402281033345394,-0.017902564732852677,-0.0047509622383045125,0.045180981040081614,0.009389100512599668,0.03590733614670183
h1_ema_x_20_100,0.01926291378131062,0.006526722758230075,-0.0014753790948762169,0.03728656997838309,0.02707236540855751,0.04015187726323344
h1_ema_x_50_200,0.020272198186019996,0.03242721144417515,-0.017985831021100906,0.018586941685474256,0.0272437682386224,0.002875674281608398
h1_er_12,0.022604935223671574,0.003851507872679738,-0.008760738770178356,0.04857216016523136,0.01093327294013402,-0.0006137582276150022
h1_er_192,0.01628775774176372,0.03469964116718194,-0.02864736786902755,0.013729893295110651,0.025404127033629598,0.0009170725840399463
h1_er_24,-0.005514891877562378,-0.0001279160176237415,-0.0007618448277505463,0.0275029388455601,0.010004789378717294,0.009300297021784698
h1_er_384,0.026022998805256936,0.005117308673707965,-0.02496702486404706,0.01201542893653984,-0.0030688531974981115,-0.027902130980965445
h1_er_48,-0.0061285570319045135,-0.01880198466878097,-0.004392923774198976,0.022200848799966977,0.00571322140790409,0.033264766000026036
h1_er_6,0.012029961834378211,0.023606015993844043,-0.034033359713442124,0.0224151120676247,0.023572839396166945,-0.004126904122905395
h1_er_96,0.03578077634459953,0.022049982766405907,-0.014312639250423531,0.04957099732408987,0.043761865159806845,0.024213692016121335
h1_flow_192,0.01843769814096219,0.021889336279520832,-0.020812952315569677,0.011991824600520173,0.010467329506780532,0.01255166573363009
h1_flow_48,-0.0015055791420627296,-0.003232968800515157,0.009752694426169106,0.026011031648536354,-0.003884718292951561,0.052684944262693434
h1_h24_adx14,-0.010338127731248481,0.007515316523676763,0.00894667086205736,-0.0014321213985966086,0.014270368472769857,0.010509524721747487
h1_h24_atr_roc_14,-0.02151333230835717,-0.0349708364839193,-0.035318198143221735,0.005053404619230428,0.0018903813929542768,0.004183475272672932
h1_h24_atrp_z_14,-0.028928235078842512,-0.024044871469451168,-0.004571704631775031,-0.014483280401868581,0.009351045371628564,0.010217524595276029
h1_h24_bb_bwroc_20,-0.010990087240552338,-0.02031293000488954,-0.009230813238364943,0.010511928483188493,0.007872773310166115,0.01919358368469437
h1_h24_bb_bwz_20,-0.022899157101208822,-0.014219051003422689,-0.007544393273390071,-0.0006115895048450226,0.019465668693799065,0.02336063007551703
h1_h24_bb_pctb_20,0.01447165702899511,0.026543074633485597,-0.02171718616410967,0.006680907796749791,0.02176011524210497,-0.006588291600873597
h1_h24_bb_pctb_50,0.011349426049036992,0.01140022283437847,-0.027447072920341653,-0.0015630326297730868,0.010206203173613204,-0.024120698345270586
h1_h24_dc_1.0,0.004102905524908884,-0.009650812650793983,-0.018918193057899546,-0.0037712980333277635,-0.01601471712963992,-0.028055260558966344
h1_h24_dc_2.0,0.004957129443380892,-0.014141566627211999,0.0069708642822862155,0.009857961970121676,-0.0055476970142492865,0.01968133548830664
h1_h24_dc_ov_1.0,0.002488809337828579,-0.019245515925711165,-0.0036792305907555334,-0.00037086061883462307,-0.009883198562443851,-0.0005985692613760807
