variant,trades,win_rate,sharpe,cagr,max_dd,total,in_mkt,group,asset,start,end
MODEL-FLIP,210,,0.3276717638233368,0.06635690019509344,-0.44574588268214255,1.0652317529094852,1.0,Indices,NL25_EUR,2009-01-28,2020-05-14
BUY & HOLD,0,,0.30805067183049356,0.06225624654763995,-0.37170098435493804,0.9773358092643261,1.0,Indices,NL25_EUR,2009-01-28,2020-05-14
ORIGINAL,71,0.36619718309859156,0.3002168872888808,0.08421118914795689,-0.6125254549614498,2.563855536494932,0.884138628889451,Stocks,AAPL,2011-01-03,2026-09-22
HYBRID,50,0.34,0.2742859820778783,0.061009676825401815,-0.6084462437102505,1.5366275073051914,0.5385782949658487,Stocks,AAPL,2011-01-03,2026-09-22
MODEL-FLIP,72,,0.32331619238905757,0.09547165596946017,-0.6339928005771426,3.192285531576145,1.0,Stocks,AAPL,2011-01-03,2026-09-22
BUY & HOLD,0,,0.7594359514492153,0.23854176609219335,-0.4437687017144154,27.86488457325869,1.0,Stocks,AAPL,2011-01-03,2026-09-22
ORIGINAL,61,0.2786885245901639,-0.029115451365771722,-0.006950397577378142,-0.6342240413281104,-0.10383235510287625,0.855046799898811,Stocks,MSFT,2011-01-03,2026-09-22
HYBRID,35,0.2,-0.3773031784454069,-0.05902841737288589,-0.7837948077061552,-0.615695459801969,0.29041234505438906,Stocks,MSFT,2011-01-03,2026-09-22
MODEL-FLIP,64,,0.1212353686994254,0.03238902921659803,-0.7532003088403543,0.6504040425198925,1.0,Stocks,MSFT,2011-01-03,2026-09-22
BUY & HOLD,0,,0.6975824701514333,0.20102191168658723,-0.375564661050386,16.798427739366456,1.0,Stocks,MSFT,2011-01-03,2026-09-22
ORIGINAL,52,0.36538461538461536,0.5479955732281122,0.2618496430444843,-0.7142412000477866,37.69347543373909,0.9162661269921578,Stocks,NVDA,2011-01-03,2026-09-22
HYBRID,32,0.375,0.24465421208315716,0.07610277871649074,-0.7277475376703053,2.1672134325684067,0.4685049329623071,Stocks,NVDA,2011-01-03,2026-09-22
MODEL-FLIP,52,,0.6564997995930124,0.34565640928420804,-0.7334621930891134,105.31332096255949,1.0,Stocks,NVDA,2011-01-03,2026-09-22
BUY & HOLD,0,,0.8955212276169826,0.4988225923616154,-0.6636205530533913,577.6851899715318,1.0,Stocks,NVDA,2011-01-03,2026-09-22
ORIGINAL,69,0.4057971014492754,0.20633900584318463,0.05629597751541193,-0.5057897621858848,1.3651707601418823,0.9018466987098406,Stocks,GOOGL,2011-01-03,2026-09-22
HYBRID,49,0.30612244897959184,0.08935973010571353,0.02139333003863464,-0.5896695277258684,0.3947483658419444,0.6569693903364533,Stocks,GOOGL,2011-01-03,2026-09-22
MODEL-FLIP,70,,0.21058087230181724,0.06029178686649339,-0.6164435294379724,1.5097844836766319,1.0,Stocks,GOOGL,2011-01-03,2026-09-22
BUY & HOLD,0,,0.7204270760157658,0.22150900110830496,-0.44320051414405315,22.21891933117891,1.0,Stocks,GOOGL,2011-01-03,2026-09-22
ORIGINAL,68,0.3382352941176471,-0.09713008115110533,-0.028822761839076838,-0.7220276590499481,-0.3685227208181656,0.8646597520870225,Stocks,AMZN,2011-01-03,2026-09-22
HYBRID,39,0.20512820512820512,-0.3491901278192314,-0.0724998438702481,-0.7957569797915071,-0.6936335022175686,0.39160131545661525,Stocks,AMZN,2011-01-03,2026-09-22
MODEL-FLIP,68,,0.09749496223803303,0.032533480806370196,-0.784094770496963,0.6540374472867756,1.0,Stocks,AMZN,2011-01-03,2026-09-22
BUY & HOLD,0,,0.6438693370750911,0.23524932159475087,-0.5614526325328263,26.68211741158037,1.0,Stocks,AMZN,2011-01-03,2026-09-22
ORIGINAL,58,0.3620689655172414,0.238694821971997,0.0901297114461117,-0.5438652143878293,2.4488522715014867,0.8960066555740432,Stocks,META,2012-05-18,2026-09-22
HYBRID,32,0.34375,0.45366501402298176,0.13833478206994165,-0.6118417433741515,5.41606171326532,0.4983361064891847,Stocks,META,2012-05-18,2026-09-22
MODEL-FLIP,46,,0.38946305131285386,0.1680434084743634,-0.7251850891710501,8.28515972153724,1.0,Stocks,META,2012-05-18,2026-09-22
BUY & HOLD,0,,0.5171964486220791,0.22901692763841663,-0.7673609153644645,18.267590489300037,1.0,Stocks,META,2012-05-18,2026-09-22
