n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,set,ticker,clf
3921,0.7663861259882683,0.7086900486405452,0.39516960338209345,0.09033633657441284,2.1818181818181817,0.7291666666666666,0.16365914786967417,0.37526514660833377,0.42266757031465896,0.1877099517969476,0.5372145420221601,0.6100846860893686,B,ROST,Crypto model C
3921,0.7419025758735016,0.6774527884729458,0.3347331333951015,0.0021117400775495765,2.4545454545454546,0.6666666666666666,0.18975497358660223,0.3948315460569509,0.5274585866418513,-0.007259294422574433,0.42953725884756955,0.6100846860893686,B,ROST,EMA cross (calm-tuned)
3921,0.7347615404233614,0.7168575619331111,0.3862890268936764,0.018943144925316617,3.1818181818181817,0.6571428571428571,0.09765266825600587,0.27633565862404774,0.3826927681617336,0.026153655065651954,0.4733423311842593,0.6100846860893686,B,ROST,SuperTrend (calm-tuned)
3921,0.7755674572813058,0.6950733922196698,0.386214995778045,0.14967794951670155,1.5454545454545454,0.8235294117647058,0.16818181818181818,0.39031561413739924,0.4492553574558874,0.3210774817181201,0.6061485165965927,0.6100846860893686,B,ROST,Online directional-change (calm-tuned)
3926,0.8217014773306164,0.6907413853115211,0.43810308619189897,0.12483201241035187,2.0,0.75,0.2755208333333333,0.3758191832515625,0.4325802312169667,0.26750102929485814,0.47627821584820645,0.4652586694699446,B,EXI,MODEL calm
3926,0.8334182373917474,0.7492603550295858,0.5113337275397345,0.15297847866601788,2.0,0.75,0.17934027777777778,0.3400958550291403,0.4355193672077613,0.33180458884522396,0.5382096301397412,0.4652586694699446,B,EXI,Crypto model C
3926,0.7740703005603667,0.6977220868623584,0.38023320353851564,0.02718507257440826,1.75,0.7380952380952381,0.23214285714285715,0.41732336552835186,0.4936704364204194,0.04723996304362149,0.37744359406951417,0.4652586694699446,B,EXI,EMA cross (calm-tuned)
3926,0.7134488028527763,0.7031413156978767,0.3515707100667251,0.03731677620423326,4.083333333333333,0.6122448979591837,0.0926640050812086,0.27202649642922827,0.3693856154464157,0.05077131129180309,0.41236660910282863,0.4652586694699446,B,EXI,SuperTrend (calm-tuned)
3926,0.7834946510443199,0.67451270449008,0.36059445673454965,0.10682715419682659,1.5,0.8333333333333334,0.30991285403050106,0.4327900954170423,0.583009608545257,0.23071681501099095,0.4705265909552309,0.4652586694699446,B,EXI,Online directional-change (calm-tuned)
2372,0.6749578414839797,0.6752420033670034,0.3721776395225256,0.042333776632212286,1.8,0.75,0.29447115384615385,0.4705231669253477,0.49100632747366035,0.0949463686805633,-0.2234676887892435,-0.4178214651647143,B,NBL,MODEL calm
2372,0.7306070826306914,0.7307179338429339,0.4654271347858843,0.06629447916250494,1.5,0.8333333333333334,0.2716239316239316,0.4957136957229322,0.5456931540435338,0.15414344418469214,-0.18539916353595792,-0.4178214651647143,B,NBL,Crypto model C
2372,0.6462900505902193,0.6461560992810993,0.2960956878715569,-0.09435774569378172,1.85,0.7027027027027027,0.3539955604883463,0.5103930576014235,0.5917976845275699,-0.2358993263495142,-0.5591031761882211,-0.4178214651647143,B,NBL,EMA cross (calm-tuned)
2372,0.6884485666104553,0.688466875966876,0.37701698623181157,0.07918356216359146,1.8,0.7777777777777778,0.16091954022988506,0.4615469504767244,0.5232491688673366,0.18406731234473084,-0.17827874595467197,-0.4178214651647143,B,NBL,SuperTrend (calm-tuned)
2372,0.7069983136593592,0.7071588634088635,0.4219805035434157,0.07772232896238629,1.3,0.8846153846153846,0.33162393162393167,0.5573231428050377,0.5773228016834139,0.18261806161696073,-0.1580895144180895,-0.4178214651647143,B,NBL,Online directional-change (calm-tuned)
3950,0.7037974683544304,0.6797044116486137,0.4039360079552077,-0.13592159109090915,2.48,0.6612903225806451,0.1951219512195122,0.3852785188671016,0.4224299150099839,-0.29158757899633164,-0.1598826943756032,0.04890835987588225,B,VMRK,MODEL calm
3950,0.7531645569620253,0.7433464835196796,0.4967651555386412,-0.22716244763888155,2.2,0.7090909090909091,0.22,0.4746663949502822,0.5121196104125847,-0.4745393251854991,-0.3087618834255344,0.04890835987588225,B,VMRK,Crypto model C
3950,0.7518987341772152,0.7492739352088449,0.4979972722572358,-0.018292711375110873,2.2,0.6545454545454545,0.17050691244239632,0.3722296207839094,0.3513818065243318,-0.051770863792028186,-0.0023704118287161064,0.04890835987588225,B,VMRK,EMA cross (calm-tuned)
3950,0.7372151898734177,0.7333584184044442,0.46716542664593097,-0.18671505740656658,2.84,0.6197183098591549,0.12345679012345678,0.35696973572762203,0.3958501720984607,-0.3968955994924722,-0.27262631927373177,0.04890835987588225,B,VMRK,SuperTrend (calm-tuned)
3950,0.6339240506329114,0.6198154922906254,0.247791966492622,-0.16395821851254355,1.28,0.78125,0.3698630136986301,0.5600768379778012,0.5480594883957552,-0.34042735126786644,-0.2088564258826315,0.04890835987588225,B,VMRK,Online directional-change (calm-tuned)
3950,0.6759493670886076,0.6820240080959503,0.3886281753863908,-0.07176719452275596,2.5172413793103448,0.6986301369863014,0.22580645161290322,0.40011573490974506,0.47576270978578883,-0.17922964486461784,0.021314979258799004,0.21385498503586214,B,NC,MODEL calm
3950,0.7448101265822785,0.7445756440327914,0.48910383952340036,-0.027833347474905196,1.8275862068965518,0.7735849056603774,0.20588235294117646,0.5124662064546435,0.4975473628734782,-0.07299645156766615,0.09687550223168466,0.21385498503586214,B,NC,Crypto model C
3950,0.6954430379746835,0.6972284254500909,0.3959775632288312,0.0012300762712571702,2.0344827586206895,0.7288135593220338,0.23529411764705882,0.4501544008690707,0.4690911217556148,-0.005452710206310382,0.13773341769668368,0.21385498503586214,B,NC,EMA cross (calm-tuned)
3950,0.7263291139240506,0.7260316215333182,0.4520556436437577,-0.061981912983784374,2.4482758620689653,0.704225352112676,0.128099173553719,0.3454910371081886,0.3799206646212687,-0.15590510564262075,0.04052630653211373,0.21385498503586214,B,NC,SuperTrend (calm-tuned)
3950,0.7782278481012658,0.7790979010946113,0.5581958021892226,0.07707480230996694,1.1379310344827587,0.9393939393939394,0.22580645161290322,0.45856005028485985,0.4975473628734782,0.17672468120165044,0.26648014442738877,0.21385498503586214,B,NC,Online directional-change (calm-tuned)
3932,0.7558494404883012,0.7149470051252734,0.45526768925961436,0.0076651476812967505,1.9375,0.7258064516129032,0.2547846889952153,0.4092079692455124,0.39562597184843296,0.002266723504672546,-0.0098585091730497,-0.01803982346763924,B,CAG,MODEL calm
3932,0.7192268565615463,0.7066380994771903,0.4063076860390728,-0.0970318556453315,1.96875,0.746031746031746,0.2597444317532838,0.45162677225679454,0.5018039741444646,-0.25327018812027635,-0.1822782678312758,-0.01803982346763924,B,CAG,Crypto model C
