asset,alpha,t,alpha_bh,t_bh,group
IJR,-0.00027771454665067354,-2.865437341917978,-0.00025123719632416647,-2.3115795272460447,Stocks all (1D)
IJS,-0.0003091666306074246,-3.2341201440477194,-0.00029352542656182156,-2.5240826836552004,Stocks all (1D)
IJT,-0.00021037901258610578,-2.239783133453394,-0.00018916247863528103,-1.8063633277393876,Stocks all (1D)
ILMN,7.786687310538164e-05,0.355498800255262,-2.876246475726783e-05,-0.1230549583569804,Stocks all (1D)
INCY,0.00018791638735363056,0.772708866768241,0.0002722345976915598,1.0850140583336603,Stocks all (1D)
INTC,1.1658222838866963e-05,0.05866717806120034,3.8255518975007126e-05,0.19066296309307149,Stocks all (1D)
INTU,-6.19327118577143e-05,-0.34429359943194504,-2.677993058732602e-05,-0.1511919851718838,Stocks all (1D)
INVH,-0.0001776013682370788,-1.161780099600379,-0.00025492173882661823,-1.25510012953707,Stocks all (1D)
IP,-0.00032209068187776657,-2.1060960719899526,-0.00026442095388585373,-1.6289153094164859,Stocks all (1D)
IPG,-0.00032293206794421363,-1.9321209416267304,-0.00016151447256197845,-0.9635878723885062,Stocks all (1D)
IPGP,-0.00014537490411713612,-0.9122258034734998,-0.00012023905635466533,-0.7144126722998527,Stocks all (1D)
IQV,-0.0002193561307551436,-1.2825325224666269,-0.00024369929831725626,-1.3802716631927119,Stocks all (1D)
IR,3.376791534228718e-05,0.16274786680282696,-4.012309704761691e-05,-0.1801277111211993,Stocks all (1D)
IRM,-0.00022075426459541,-1.4501357754203734,-0.0001791859507434807,-1.1023010348872433,Stocks all (1D)
ISRG,8.329397744686946e-05,0.5520731602664218,7.533545518344146e-05,0.47305019713605584,Stocks all (1D)
IT,-0.0003276893429633912,-1.7599355789499869,-0.0003211280807669873,-1.5613702328786796,Stocks all (1D)
ITA,-0.0001807939961705671,-1.3407122190792014,-0.00015672386655589862,-1.082107597425524,Stocks all (1D)
ITB,-0.00015074873068920708,-0.8585454786667901,-0.00015782650441945585,-0.8564565500704738,Stocks all (1D)
ITT,-0.00027793245688347717,-1.752988610194189,-0.00026509559901237304,-1.5707225496748836,Stocks all (1D)
ITW,-0.00018537886532408814,-1.4227603229481838,-0.0001523362029476764,-1.180148523496528,Stocks all (1D)
IVE,-0.00018861425544513968,-2.5404413313164795,-0.0002247110045032119,-2.558399438973852,Stocks all (1D)
IVV,-0.00023593773872357366,-2.822097397497953,-0.000251419402149309,-2.628940051383246,Stocks all (1D)
IVW,-0.00022002440959369976,-2.3845461132949444,-0.0002475887623906416,-2.3501913908325553,Stocks all (1D)
IVZ,-0.0002652883406441741,-1.6500181429790035,-0.00032464801731738323,-1.8818431044137958,Stocks all (1D)
IWB,-0.0002377734623258438,-2.8563210169493134,-0.0002617711712970137,-2.737677183356911,Stocks all (1D)
IWD,-0.00020128286534014286,-2.6443154641134763,-0.000228123969451862,-2.5606922296107193,Stocks all (1D)
IWF,-0.00019829402629620098,-2.0904833833945835,-0.00023274273425065765,-2.1633080478245077,Stocks all (1D)
IWM,-0.00024786650973475746,-2.542523582211053,-0.00024361635123253404,-2.2231191990646817,Stocks all (1D)
IWN,-0.0002779959590553473,-2.8164728229769045,-0.0002691028198752413,-2.2976808368809265,Stocks all (1D)
IWO,-0.00015881552724069991,-1.5239697050264198,-0.0001637278581493588,-1.4687258273610397,Stocks all (1D)
IWV,-0.00023612607995380483,-3.0038478827981843,-0.0002647951263082793,-2.897634819687191,Stocks all (1D)
IXC,-0.0001823974885690874,-1.6984032721737832,-0.00016468107244543536,-1.3996908894016578,Stocks all (1D)
IXG,-0.0002670692440656894,-2.8235525217149977,-0.00024399615085524647,-2.25972996099821,Stocks all (1D)
IXJ,-8.329965023054873e-05,-1.196905364355889,-6.859335304792305e-05,-0.9435602679907303,Stocks all (1D)
IXN,-0.00020256047108416052,-1.6947517572098567,-0.0002473218999623668,-1.8563296645110283,Stocks all (1D)
IXP,-0.00020143311451240487,-2.3301908946704386,-0.00018293869663303693,-2.031748036477598,Stocks all (1D)
IYC,-0.00018921272850674713,-2.013170877351384,-0.0001985686258284026,-1.9599439548711493,Stocks all (1D)
IYE,-0.00023683742324847877,-1.867321545240599,-0.0002249631088652457,-1.623073318359075,Stocks all (1D)
IYF,-0.0002927933319324001,-3.0923912866659182,-0.0002919660654682462,-2.5622411739431104,Stocks all (1D)
IYG,-0.0003038505928558934,-2.8239211555376498,-0.0003013672667370758,-2.3709215853275003,Stocks all (1D)
IYH,-8.474188666914774e-05,-1.1537878000751303,-7.296708355956668e-05,-0.9829518232519252,Stocks all (1D)
IYJ,-0.00022019175059572105,-2.7296052872814087,-0.00024406192102926667,-2.568236551583425,Stocks all (1D)
IYK,-0.00015148445649189364,-2.168978029350607,-9.631538532188698e-05,-1.203392163681652,Stocks all (1D)
IYM,-0.0002461472860336858,-2.4740737918158384,-0.000181525796076834,-1.757863715578472,Stocks all (1D)
IYR,-0.00015595132668456307,-1.6416948248488679,-0.000118296854308514,-1.1971854739565913,Stocks all (1D)
IYT,-0.0002677899149554703,-2.331714945297256,-0.0002242529203297682,-1.9799599534314696,Stocks all (1D)
IYW,-0.00017457972099409294,-1.4418423848715676,-0.00019784320828480716,-1.4939725362485945,Stocks all (1D)
IYZ,-0.00013927736435593801,-1.4641122670647575,-0.00011885837300320344,-1.2159201271765379,Stocks all (1D)
J,-0.0001626579374389946,-1.1927430761282232,-0.00017045310010733972,-1.1801211287561724,Stocks all (1D)
JBHT,-0.00019076115654963446,-1.5787676837330367,-0.00016441729753984623,-1.3171703525374105,Stocks all (1D)
JBL,-0.00016887788539453842,-0.7597181290450512,-0.0001458596422136725,-0.631814729833435,Stocks all (1D)
JCI,-0.00025800591945459103,-2.0174013310310097,-0.0002704153349765157,-1.7521405846379918,Stocks all (1D)
JEF,-0.00021174622700390324,-1.2798384858377063,-0.0003183098713679661,-1.7568213049068249,Stocks all (1D)
JKHY,8.739844691145316e-06,0.0850863648784207,1.6204906597398927e-06,0.016546203678153088,Stocks all (1D)
JNJ,-6.023241692276867e-05,-0.7197174245592102,-1.4772838395964665e-05,-0.16115842517815135,Stocks all (1D)
JNPR,-8.768313699476645e-05,-0.5116791087422055,-6.850750569887867e-05,-0.40215544269694775,Stocks all (1D)
JNS-201705,-0.00034997845478755546,-1.2641813835380922,-0.00024790775559752987,-0.8774307404537312,Stocks all (1D)
JNY-201404,0.0001392556016420601,0.3301056239628038,-0.00010446617291432932,-0.1948130474492314,Stocks all (1D)
JOY-201704,-0.00036190698996340905,-1.3005887254519155,-0.0004815352686370182,-1.4286772114455886,Stocks all (1D)
JPM,-0.00037606988619251415,-2.7747580292865637,-0.0003911758461171556,-2.271152926407315,Stocks all (1D)
JWN,-0.00040504831405778545,-1.4031293306667911,-0.0003047918027812007,-1.0187005866188825,Stocks all (1D)
JXI,-1.9826941272004953e-05,-0.23690518114959738,-1.431039630931507e-05,-0.1829761340075341,Stocks all (1D)
K,-0.00015163091795585687,-1.9685866696797814,-0.00015052617304276442,-1.9974647270852077,Stocks all (1D)
KATE-201707,-0.0001440807754860285,-0.31921723618431763,-0.0001898653076220313,-0.41321554695134755,Stocks all (1D)
KBH,-9.87265990313354e-05,-0.33967290149838697,-8.092921575619763e-05,-0.2652617368633745,Stocks all (1D)
KDP,-8.257684552123761e-05,-0.6362163636487687,-6.651274307054149e-05,-0.5369804271446232,Stocks all (1D)
KEY,-0.0004189613136569343,-2.7101594338463686,-0.0004310244951910231,-2.4331317317485532,Stocks all (1D)
KEYS,-6.8898384646599135e-06,-0.04374108087954057,-2.020717838869881e-05,-0.13229300029782992,Stocks all (1D)
KHC,-8.229729675621624e-05,-0.4789219625341943,-7.477565614529013e-05,-0.4362658503878107,Stocks all (1D)
KIM,-1.8522952771978487e-05,-0.1100321117485634,-6.323203060151142e-05,-0.34325380013364454,Stocks all (1D)
KKR,-0.0002055016869149381,-1.1661519454542075,-0.00025520134175803565,-1.3077908085688978,Stocks all (1D)
KLAC,4.874212332534593e-05,0.2635102231299708,8.479601623092351e-05,0.4364294599683485,Stocks all (1D)
KMB,7.530832957341472e-06,0.07613911880770467,3.058091089686367e-05,0.29933433180331004,Stocks all (1D)
KMI,-0.0003908945007287167,-2.7464868266528346,-0.00037131456532638296,-2.59463768747947,Stocks all (1D)
KMX,-0.0002080848027425521,-1.1026368415071703,-0.0002274882748346277,-1.1106078194789788,Stocks all (1D)
KO,8.385441978990144e-05,0.8943709429122634,0.0001045142400472726,1.1245771418309451,Stocks all (1D)
KORS,-0.0004987793917126543,-1.927487917689736,-0.0005109761772151446,-1.8748989015289765,Stocks all (1D)
KR,-1.611247281994701e-05,-0.13660898776724106,2.8717277244409074e-05,0.24429656226197125,Stocks all (1D)
KSS,-0.0003830925416081118,-1.6080216572900492,-0.0002390079767817121,-0.9127276700078221,Stocks all (1D)
KSU,-0.00041077410292592764,-2.2463038325101428,-0.00028909202187091905,-1.5612201410184217,Stocks all (1D)
KXI,-7.393899574580967e-05,-1.003310569814019,-4.996129006947251e-05,-0.6870357503314435,Stocks all (1D)
